"y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10"
-13.7132096453124,-1.8759306948632,1,1,-2.23629325581715,1,1.25700700189918,-1.98093421850353,1,1,0
-16.2803999714966,-1.02300880290568,1,1,-0.667054108344018,0,1.71510890312493,0.414382766000926,0,1,0
14.1596882692595,0.582826906815171,1,0,2.86191598465666,0,-1.41007581911981,1.62230904214084,0,1,0
-2.60411394579226,3.26566231995821,0,1,-1.06205110810697,0,0.999286659993231,0.826646127738059,0,0,1
-26.0976027587494,-2.38654455170035,1,0,1.10924598993734,0,1.90262939874083,-0.949851362966001,0,0,0
-40.5317822929858,3.18711747974157,1,1,2.85712588811293,1,1.89916985388845,1.40430487785488,1,0,0
-8.69902185886189,3.55740214884281,1,0,-2.50192183209583,1,-0.597497719340026,-0.665577939711511,0,1,0
-3.4432245445923,1.28638233989477,1,1,1.91945120343007,0,-0.424203772097826,0.313137070275843,0,1,0
-17.9442201840592,1.03291235119104,1,0,1.89177176053636,0,1.80380403622985,-0.268907479010522,0,1,0
7.43390122261688,-3.50570983625948,1,1,0.247736667050049,1,-1.57340672146529,-1.79361870791763,0,1,0
-29.571245523363,-2.35220340080559,1,0,0.0585177731700242,1,1.73904046602547,0.919213151559234,1,1,0
-7.86433974869251,-2.58754597976804,0,1,0.935237514320761,0,-0.615351600572467,0.192681657150388,0,1,1
-4.92425972724941,1.49618277326226,1,0,3.49938258435577,0,0.132242423482239,1.00488794222474,0,1,0
-6.53378359544986,-0.927170254290104,1,0,-1.38673510029912,1,0.155177197419107,-1.79691534116864,1,0,0
0.0489410225992382,2.15873135998845,1,0,-1.4473037191201,1,0.858871798962355,0.859864849597216,1,0,0
-7.34227894363759,-0.0184060633182526,0,0,-0.0584887468721718,0,-0.376837999559939,-0.809222172945738,0,1,1
11.6813985476226,1.74094806611538,1,1,-0.665354360127822,0,-1.38884743489325,-0.866091161035001,0,1,0
-5.46329001268325,3.93524875864387,1,0,3.053652852308,0,-0.639068954624236,1.31950850971043,0,1,0
-3.94166191764335,-0.959718564525247,1,0,-1.75963824987411,1,0.506619390100241,-1.65441849920899,1,0,0
-1.32507557892706,2.21956177055836,1,1,0.453231100458652,1,-1.77050928678364,-1.82937152404338,1,1,0
-12.7462520288671,3.47764184884727,1,1,0.0079935675021261,0,1.40667055919766,-0.605036764405668,0,0,0
-19.2787655220775,-2.30285982973874,0,0,0.949846900999546,0,-1.14941861666739,0.169344040565193,0,1,1
-0.161330121578825,1.21339012868702,1,0,1.59313620859757,0,0.157848111353815,0.437843454070389,0,0,0
18.2988849517242,-2.99555923230946,1,0,3.84987843944691,0,-1.4540496552363,-0.914511606097221,0,1,0
-7.98381463980897,-1.86223465017974,0,0,-1.37487196084112,0,-0.700539438053966,-1.17907627206296,0,0,1
-6.75879772876448,-0.91108725965023,1,1,-1.31431882688776,0,0.484305175021291,-0.473471406847239,0,0,0
4.26140966102194,-3.89287733472884,1,0,2.57785258791409,0,-0.976071005687118,-0.109767538495362,0,0,0
-4.97731927787599,-0.940896343439817,1,0,2.82170200510882,0,0.53950319532305,1.34207179956138,0,0,0
